Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
TUNTUN SEKURITAS INDONESIA,Senior iOS Developer,Mobile Developer,Jakarta Utara,,"['c', 'ios', 'swift']",S1,full time
ACE ZETA PTE. LTD.,Server and Network Hardware Support Specialist （Great Room and Flexibility Work）,Network / Infra / SysAdmin,Jakarta Raya,8000000.0,['linux'],Tidak Disebutkan,full time
PT Sinergi Wahana Gemilang,IT Support Mobility,Support / Helpdesk / IT Ops,Jakarta Raya,,[],S1,full time
Proworker,ACS dan FIDS Engineer,Other,Jakarta Utara,9000000.0,[],S1,kontrak/temporer
PT Steel Pipe Industry of Indonesia Tbk,Software Development Specialist,Other,Surabaya,,"['agile', 'docker', 'flutter', 'git', 'linux', 'postgresql', 'python']",S1,full time
"PT. Metrodata Electronics, Tbk",Cloud Engineer,DevOps / Cloud / SRE,Jakarta Barat,,"['aws', 'networking']",S1,kontrak/temporer
Pengiklan Anonim,Head of PMO (Telco Industry),Product / Project / Scrum,Jakarta Selatan,,['c'],S1,kontrak/temporer
PT ZTE Indonesia,IP Core engineer,Other,Jakarta Raya,,['tcp/ip'],S1,full time
PT Adibayu Gajah Semakmur,Data Analyst,Data / AI,DI Yogyakarta,,"['excel', 'power bi', 'python', 'sql', 'tableau']",S1,kontrak/temporer
PT EVOLUSI TEKNOLOGI SOLUSI,Software Quality Assurance,QA / Tester,Jakarta Raya,6750000.0,['agile'],S1,kontrak/temporer
PT Delonix Group Indonesia,Wormhole / Project Officer,Other,Jakarta Barat,,['ui/ux'],Tidak Disebutkan,full time
PT Gameloft Indonesia (Yogyakarta),Full Stack Developer,Fullstack Engineer,Yogyakarta,,"['css', 'git', 'html', 'javascript', 'jira', 'mysql', 'php', 'sql', 'ui/ux']",Tidak Disebutkan,full time
PT Microvac Indonesia,Devops Engineer,DevOps / Cloud / SRE,Jakarta Timur,7250000.0,"['docker', 'kubernetes', 'linux', 'postgresql', 'python', 'redis']",Tidak Disebutkan,full time
PT Hashmicro Solusi Indonesia,ERP Consultant International,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['go', 'networking']",S1,full time
PT Hubexo Asia Indonesia,Agile Coach,Product / Project / Scrum,Jakarta Selatan,37500000.0,"['agile', 'jira', 'scrum']",Tidak Disebutkan,full time
PT Solman Tekno Asia,SAP ABAP Developer,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,8350000.0,"['agile', 'scrum']",S1,full time
EKA HOSPITAL,Head of IT Infrastructure,Network / Infra / SysAdmin,South Tangerang,,"['aws', 'azure', 'networking']",Tidak Disebutkan,full time
PT Cahaya Aditama Santoso,IT,Other,Surabaya,5500000.0,['networking'],Diploma,full time
Shopee Internasional Indonesia,Project Manager Intern - IT (Jakarta),Product / Project / Scrum,Jakarta Selatan,,[],S1,kontrak/temporer
WEBBEDS APAC Pte. Ltd.,Commercial Technology Specialist,Other,Jakarta Raya(Hibrid),8750000.0,['sql'],Tidak Disebutkan,full time
PT Kao Indonesia,ICT (Information and Communication Technology) Executive,Other,Jakarta Selatan,,[],S1,full time
PT Bawana Margatama,L1 SOC Analyst,Security / Cybersecurity,Jakarta Selatan,7000000.0,['cybersecurity'],S1,kontrak/temporer
BEEDUCATION ADVENTURES SDN. BHD.,FullStack Developer - NodeJS & Angular (*Position based onsite in Malaysia*),Backend Engineer,Jakarta Raya,22000000.0,"['angular', 'docker', 'linux', 'mysql', 'node.js', 'redis']",Tidak Disebutkan,full time
