Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
"PT Kirana Megatara, Tbk (Triputra Group)",Internship - Mobile Developer,Mobile Developer,Jakarta Selatan,,"['javascript', 'vue']",Tidak Disebutkan,paruh waktu,DKI Jakarta
Elitez Pte Ltd,IT Staff,Support / Helpdesk / IT Ops,Jakarta Utara,10500000,[],S1,full time,DKI Jakarta
PT Daimler Commercial Vehicles Indonesia,IT Business Analyst,Business / System Analyst,Jakarta Selatan,,[],S1,full time,DKI Jakarta
PT Esha Parama Teknologi,Product Owner,Product / Project / Scrum,Jakarta Raya,,"['agile', 'scrum', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Trinusa Travelindo,Software Engineer - iOS,Mobile Developer,Jakarta Raya,,"['ios', 'swift']",S1,full time,DKI Jakarta
PT TRANSPORTASI JAKARTA,Senior Engineer,Other,Jakarta Timur,10850000,"['django', 'docker', 'flask', 'git', 'golang', 'java', 'javascript', 'kubernetes', 'node.js', 'postgresql', 'python', 'react', 'redis', 'spring boot', 'sql']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT BANGUNPERKASA  ADHITAMASENTRA,IT Quality Assurance,QA / Tester,Jakarta Barat,,"['android', 'git', 'ios', 'jira']",Diploma,full time,DKI Jakarta
PT Lawencon Internasional,Java Developer,Backend Engineer,Jakarta Selatan,,"['docker', 'figma', 'git', 'java', 'kubernetes', 'mysql', 'oracle', 'postgresql', 'redis', 'spring boot', 'sql', 'ui/ux']",Diploma,full time,DKI Jakarta
PT Bank Mizuho Indonesia,ASP.Net Programmer,Other,Jakarta Pusat,,['sql'],S1,full time,DKI Jakarta
PT Sinergi Daya Mitra,IT Cyber Security Analyst,Security / Cybersecurity,Jakarta Raya,31000000,"['cybersecurity', 'penetration testing']",S1,kontrak/temporer,DKI Jakarta
PT Trinusa Travelindo,Mobile Engineer (iOS),Mobile Developer,Jakarta Raya,,"['aws', 'c', 'ios', 'swift']",S1,full time,DKI Jakarta
PT Chandra Sakti Utama Leasing (Tiara Marga Trakindo Group),IT Developer,Other,Jakarta Raya,,['.net'],S1,full time,DKI Jakarta
YAYASAN INTAN EDUKA - IPH SCHOOLS,IT SYSTEM & DATA SUPPORT,Data / AI,Surabaya,,[],S1,full time,Jawa Timur
PT Hydrax Teknologi Indonesia,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['aws', 'kubernetes', 'linux', 'networking', 'python', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
PT Akulaku Silvrr Indonesia,Cyber Security,Security / Cybersecurity,Jakarta Pusat,,['cybersecurity'],S1,kontrak/temporer,DKI Jakarta
PT Weefer Indonesia,Junior Software Engineer (HRIS Applications),Other,Malang,,"['.net', 'c', 'c#', 'git', 'jira', 'sql']",Tidak Disebutkan,full time,Jawa Timur
"PT. BFI FINANCE INDONESIA, Tbk",Tech Lead,Other,Tangerang District,,"['.net', 'agile', 'angular', 'aws', 'flutter', 'jenkins', 'jira', 'networking', 'pandas', 'react']",Tidak Disebutkan,full time,Banten
PT Citra Multi Services,Presales Consultant – DevOps,DevOps / Cloud / SRE,Jakarta Selatan,,"['aws', 'azure', 'docker', 'git', 'jenkins', 'kubernetes']",S1,kontrak/temporer,DKI Jakarta
Gokomodo,Junior QA Engineer,QA / Tester,Jakarta Selatan,,"['agile', 'jira']",Tidak Disebutkan,full time,DKI Jakarta
MAKA Motors,Data Analyst (Full stack),Fullstack Engineer,Jakarta Raya,,"['python', 'sql']",S1,full time,DKI Jakarta
PT Indomobil Finance Indonesia,IT Infrastructure Security Coordinator,Security / Cybersecurity,Jakarta Timur,,['tcp/ip'],S1,full time,DKI Jakarta
"PT. Trimegah Sekuritas Indonesia, Tbk",Senior Fullstack Backend Developer,Backend Engineer,Jakarta Selatan,,"['.net', 'aws', 'azure', 'c', 'c#', 'css', 'docker', 'go', 'git', 'html', 'java', 'javascript', 'kubernetes', 'mongodb', 'php', 'postgresql', 'react', 'redis', 'sql', 'vue']",Tidak Disebutkan,full time,DKI Jakarta
PT Tokoplas Ecommerce Indonesia,Backend Engineer,Backend Engineer,Jakarta Pusat,,"['aws', 'docker', 'git', 'laravel', 'mysql', 'php', 'postgresql', 'redis', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
RGF HR Agent Indonesia,IT Payment System Developer (Mandarin Speaker) - Fintech (B-118627),Other,Jakarta Barat,15000000,"['c', 'go', 'java', 'mysql', 'php', 'python']",S1,full time,DKI Jakarta
PT DMS Investama,FULL-STACK SOFTWARE DEVELOPER (MOBILE &WEB),Mobile Developer,Jakarta Selatan,,"['android', 'flutter', 'ios', 'laravel', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Kiwoom Sekuritas Indonesia,IT Support,Support / Helpdesk / IT Ops,Jakarta Raya,,['linux'],Diploma,full time,DKI Jakarta
PT Tirtakencana Tatawarna (Head Office),IT Staff (Mobile Developer),Mobile Developer,Surabaya,,"['flutter', 'laravel', 'sql']",S1,full time,Jawa Timur
PT Prudential Life Assurance,Apprenticeship - QA Engineer,QA / Tester,Jakarta Selatan,,"['javascript', 'typescript']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. BNI MULTIFINANCE,IT Infrastructure Specialist,Network / Infra / SysAdmin,Jakarta Selatan,,"['cybersecurity', 'tcp/ip']",S1,full time,DKI Jakarta
PT Kinarya Alihdaya Mandiri,IT Application Support ERP/Odoo,ERP / SAP / Odoo / Dynamics,Jakarta Barat,,"['aws', 'git', 'oracle', 'python', 'sql']",Diploma,full time,DKI Jakarta
RGF HR Agent Indonesia,IT Network Staff (Open for Fresh Graduate) - Construction - Jakarta (B-126887),Network / Infra / SysAdmin,Jakarta Raya,6500000,[],S1,full time,DKI Jakarta
PT Lawencon Internasional,HRIS/ERP Functional Senior Staff,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,"['go', 'oracle', 'sql']",S1,full time,DKI Jakarta
PT. TALENTA TEKNOLOGI SUKSES GEMILANG,.Net Developer,Other,Jakarta Raya,8500000,"['.net', 'c', 'c#', 'css', 'html', 'java', 'javascript', 'oracle', 'sql']",S1,full time,DKI Jakarta
PT. Tera Tekno Infotama,Python Programmer,Other,Jakarta Raya,,['python'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT BANGUNPERKASA  ADHITAMASENTRA,.Net MAUI Hybrid,Frontend Engineer,Jakarta Barat,,"['.net', 'agile', 'android', 'git', 'ios', 'scrum', 'ui/ux']",S1,full time,DKI Jakarta
PT Ciptajaya Sejahtera Abadi,Account Payable Officer,Other,Jakarta Raya,,['excel'],Diploma,kontrak/temporer,DKI Jakarta
"PT Clipan Finance Indonesia, Tbk",IT System Development Staff,Other,Jakarta Raya,,"['.net', 'angular', 'azure', 'c', 'c#', 'css', 'docker', 'git', 'html', 'javascript', 'kubernetes', 'linux', 'mongodb', 'postgresql', 'react', 'redis', 'vue']",S1,full time,DKI Jakarta
PT Wave Communication Indonesia,teknisi radio telekomunikasi,Other,Jakarta Selatan,,['networking'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT. KARYA LISTRIK INDONESIA,IT,Other,Jakarta Utara,7500000,[],Tidak Disebutkan,full time,DKI Jakarta
PT Visionet Data Internasional,IT Data Center & Hub Support Room,Data / AI,Tangerang,,"['linux', 'networking']",S1,kontrak/temporer,Banten
PT Printcom Solusi,Teknisi On-Site – Sistem Jaringan & Keamanan,Other,Jakarta Raya,5000000,[],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
JAPFA FOOD INDONESIA,IT Project Manager,Product / Project / Scrum,Jakarta Raya,,"['excel', 'go', 'jira', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Visionet Data Internasional,IT Support,Support / Helpdesk / IT Ops,Tangerang,,"['linux', 'networking']",Diploma,full time,Banten
PERSEROAN TERBATAS - BADAN DESKA MULTISISTEM INDONESIA,Project Manager,Product / Project / Scrum,Jakarta Raya,7000000,"['cybersecurity', 'networking']",S1,kontrak/temporer,DKI Jakarta
"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",IT Data Center Network & System Specialist,Data / AI,Jakarta Utara,,['linux'],S1,full time,DKI Jakarta
PT Airmas Perkasa,Product IT Specialist,Other,Jakarta Barat,17000000,[],Tidak Disebutkan,full time,DKI Jakarta
Pengiklan Anonim,IT Infrastructure Officer,Network / Infra / SysAdmin,Jakarta Selatan,,[],S1,kontrak/temporer,DKI Jakarta
AlphaPhilindo Solution Inc,PHP Programmer (Codeigniter/Laravel),Backend Engineer,Jakarta Raya,10000000,"['.net', 'golang', 'laravel', 'mongodb', 'mysql', 'php', 'postgresql', 'python', 'sql']",S1,full time,DKI Jakarta
PT Argo Manunggal Triasta,IT Developer,Other,Tangerang,,"['css', 'html', 'php']",S1,full time,Banten
PT Bank Mizuho Indonesia,IT Security,Security / Cybersecurity,Jakarta Pusat,,['cybersecurity'],S1,full time,DKI Jakarta
Pengiklan Anonim,Solution Engineer HCI,Sales / Presales / Solution,Jakarta Pusat,11000000,[],S1,full time,DKI Jakarta
PT Sinergi Daya Mitra,Information Technology Cyber Security Engineer,Security / Cybersecurity,Jakarta Raya,,[],S1,kontrak/temporer,DKI Jakarta
PT Lawencon Internasional,IT Project Management Officer (PMO),Product / Project / Scrum,Jakarta Selatan,,['excel'],S1,full time,DKI Jakarta
PT Meia Sinergi Utama,Software Programmer,Other,Malang,4000000,"['machine learning', 'postgresql', 'python', 'sql']",Diploma,full time,Jawa Timur
PT Synergy Network Solution,Network Operation Engineer,Network / Infra / SysAdmin,Jakarta Selatan,,[],S1,full time,DKI Jakarta
CBQA GLOBAL INDONESIA,Frontend Developer,Frontend Engineer,Jakarta Selatan,10000000,"['css', 'git', 'react', 'typescript']",S1,full time,DKI Jakarta
PT. INTERNET PRATAMA INDONESIA TBK,IT Network & Server,Network / Infra / SysAdmin,Surabaya,,[],S1,full time,Jawa Timur
PT Shape-Up Indonesia,IT Auditor Specialist,Other,Jakarta Selatan,,[],S1,full time,DKI Jakarta
PT Abinaya Cahaya Semesta Indah,IT Support,Support / Helpdesk / IT Ops,Jakarta Selatan,,[],Tidak Disebutkan,full time,DKI Jakarta
PT Karya Solusi Prima Sejahtera,Network Engineer (IT Infra),Network / Infra / SysAdmin,Mojokerto,,[],Tidak Disebutkan,kontrak/temporer,Jawa Timur
Askarasoft,PHP Developer,Other,Surabaya,,"['flutter', 'javascript', 'mysql', 'php']",S1,full time,Jawa Timur
PT. Sinergi Kreasi Indonusa,Junior Programming Staff,Other,Tangerang,4750000,"['php', 'sql']",Tidak Disebutkan,kontrak/temporer,Banten
PT Solusi Transportasi Indonesia,"Senior Software Engineer, Mobile (iOS) - ACE",Mobile Developer,Jakarta Raya(Hibrid),,['ios'],Tidak Disebutkan,full time,DKI Jakarta
PT. TALENTA TEKNOLOGI SUKSES GEMILANG,QA Engineer,QA / Tester,Jakarta Selatan,8500000,['sql'],Tidak Disebutkan,full time,DKI Jakarta
PT Solusi Transportasi Indonesia,"Senior Software Engineer, Mobile (Android) - Consumer Experience",Mobile Developer,Jakarta Raya,,"['android', 'kotlin']",Tidak Disebutkan,full time,DKI Jakarta
PT Intersolusi Teknologi Asia,Backend Developer,Backend Engineer,Bandung,6250000,"['angular', 'aws', 'azure', 'c', 'c#', 'docker', 'git', 'google cloud', 'java', 'kubernetes', 'mongodb', 'mysql', 'node.js', 'php', 'postgresql', 'python', 'react', 'ruby']",S1,full time,Jawa Barat
PT Jaya Real Property Tbk,Land Database Officer,Data / AI,South Tangerang,,[],S1,full time,Banten
PT Hashmicro Solusi Indonesia,System Analyst (Fresh Graduate),Business / System Analyst,Jakarta Pusat,,"['.net', 'excel', 'java', 'php', 'sql']",S1,full time,DKI Jakarta
Pengiklan Anonim,Data Engineering Assistant Manager,Data / AI,Jakarta Raya,,"['agile', 'aws', 'c', 'c++', 'java', 'python', 'scrum', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT Tirtakencana Tatawarna (Head Office),IT Staff,Support / Helpdesk / IT Ops,Surabaya,,"['flutter', 'html', 'iot', 'laravel', 'machine learning', 'mysql', 'php', 'python', 'sql']",S1,full time,Jawa Timur
PT Wahana Makmur Sejati (Wahanaartha Group),Web & App Support,Support / Helpdesk / IT Ops,Tangerang,,"['android', 'css', 'html', 'ios', 'javascript', 'laravel', 'mysql', 'node.js', 'php', 'react', 'react native']",Diploma,full time,Banten
GRAB,"Senior Software Engineer, Fullstack",Fullstack Engineer,Jakarta Raya,,"['aws', 'c', 'c++', 'go', 'git', 'golang', 'java', 'javascript', 'machine learning', 'mysql']",Tidak Disebutkan,full time,DKI Jakarta
Otospector Indonesia,C# FULLSTACK PROGRAMMER,Fullstack Engineer,Jakarta Utara,10500000,"['.net', 'agile', 'azure', 'c', 'c#', 'css', 'docker', 'git', 'html', 'javascript', 'kubernetes', 'sql']",S1,full time,DKI Jakarta
PT. Datascrip,System Operation Officer,Other,Jakarta Pusat,,['sql'],S1,full time,DKI Jakarta
PT Bentang Inspira Teknologi (Bandung),TECHNICAL WRITER & ASSISTANT & ADM. PROJECT,Other,Bandung,5000000,"['agile', 'c', 'excel', 'figma']",Diploma,kontrak/temporer,Jawa Barat
PT Trinusa Travelindo,Senior Cloud Platform Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['aws', 'go', 'python', 'terraform']",Tidak Disebutkan,full time,DKI Jakarta
RGF HR Agent Indonesia,Supply Chain Management Consultant / Sr. Consultant - Consulting Firm (C-127338),Sales / Presales / Solution,Jakarta Raya,21250000,['excel'],S1,full time,DKI Jakarta
PT Netmarks Indonesia,Server Engineer,Network / Infra / SysAdmin,Jakarta Utara,7500000,['linux'],S1,full time,DKI Jakarta
FKS Group,Data Engineer Specialist,Data / AI,Tangerang,,"['postgresql', 'sql']",S1,full time,Banten
PT IDStar Cipta Teknologi,SOC Analyst,Security / Cybersecurity,Jakarta Raya,,"['cybersecurity', 'linux', 'python']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT RANAJAYA MULIA SENTOSA,Staff Web Developer,Other,Depok,5250000,"['flask', 'javascript', 'laravel', 'php', 'python']",S1,kontrak/temporer,Jawa Barat
PT Bakrie Sumatera Plantations Tbk,SAP FICO Officer,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,[],S1,full time,DKI Jakarta
Ofi Indonesia,Data Analyst – Dairy Distribution & Trading,Data / AI,Jakarta Raya,,"['excel', 'power bi', 'sql', 'tableau']",S1,full time,DKI Jakarta
PT. Origa Mulia FRP,Senior Report Analyst (Corporate),Business / System Analyst,Tangerang,,['excel'],S1,full time,Banten
PT Sharing Vision Indonesia,Data Engineer,Data / AI,Jakarta Raya,,"['big data', 'java', 'mysql', 'oracle', 'python', 'spark', 'sql', 'tableau']",Diploma,kontrak/temporer,DKI Jakarta
PT Sungai Budi,STAFF IT APPLICATION SUPPORT ( IT SUPPORT),Support / Helpdesk / IT Ops,Jakarta Selatan,,"['excel', 'sql']",S1,full time,DKI Jakarta
PT Pranala Ragam Karya,Full Stack Developer,Fullstack Engineer,Yogyakarta,9000000,"['agile', 'angular', 'css', 'git', 'html', 'javascript', 'laravel', 'node.js', 'php', 'python', 'react', 'ruby', 'sql', 'vue']",S1,full time,DI Yogyakarta
TalentGo,IT Product Manager,Product / Project / Scrum,Jakarta Raya,13000000,['agile'],S1,full time,DKI Jakarta
PT Astra Graphia Information Technology (AGIT),"Bootcamp SAP  (ABAP, MM, SD, FI, BASIS, PM)",ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT Cahaya Mutiara Mandiri,Project Manager Telekomunikasi (Microwave Radio),Product / Project / Scrum,Jakarta Selatan,,"['excel', 'jira']",Diploma,kontrak/temporer,DKI Jakarta
PT. PERSOLKELLY Recruitment Indonesia,ETL Data Engineer - WFO Jakarta (ID: 690243),Data / AI,Jakarta Selatan,,['sql'],Diploma,kontrak/temporer,DKI Jakarta
PetroSYNC,Web Programmer,Other,Jakarta Barat,,"['angular', 'laravel', 'php', 'react']",Diploma,full time,DKI Jakarta
PT Abhimata Persada,IT Application Support,Support / Helpdesk / IT Ops,Jakarta Raya,,"['c', 'c++', 'java', 'linux', 'oracle', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT Lawencon Internasional,IT Support (Microsoft Systems & SQL Server),Network / Infra / SysAdmin,Jakarta Selatan,,['sql'],S1,full time,DKI Jakarta
PT Nawa Data Solutions,IT Servers & Cloud,DevOps / Cloud / SRE,Jakarta Barat,,"['aws', 'azure', 'google cloud', 'linux', 'sql']",S1,full time,DKI Jakarta
PT Esha Parama Teknologi,Backend Developer,Backend Engineer,Jakarta Raya,,"['.net', 'aws', 'c', 'c#', 'git', 'java', 'kubernetes', 'redis', 'spring boot', 'sql']",S1,full time,DKI Jakarta
PT Hashmicro Solusi Indonesia,ERP Software Developer,ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['css', 'html', 'javascript', 'postgresql', 'python']",S1,full time,DKI Jakarta
PT UNIQUE,IT SUPPORT,Support / Helpdesk / IT Ops,Jakarta Barat,,['linux'],Tidak Disebutkan,full time,DKI Jakarta
PT Supertone (SPC),IT SUPPORT,Support / Helpdesk / IT Ops,Jakarta Barat,,"['c', 'java', 'networking', 'php']",S1,full time,DKI Jakarta
PT Accenture,Lowongan Kerja AWS Redshift Senior Analyst,DevOps / Cloud / SRE,Semarang,,['aws'],S1,full time,Jawa Tengah
PT Hipernet Indodata,Network Engineer,Network / Infra / SysAdmin,Jakarta Raya,,[],S1,kontrak/temporer,DKI Jakarta
PT Bhakti Idola Tama,IT Support Staff,Support / Helpdesk / IT Ops,Jakarta Barat,,"['c', 'sql']",Diploma,full time,DKI Jakarta
Altius Hospital,IT Hospital Information System,Other,Jakarta Barat,,[],S1,full time,DKI Jakarta
PT Kapal Api Global,IT Manufacturing Application Manager (Oracle EBS),ERP / SAP / Odoo / Dynamics,Jakarta Pusat,,"['oracle', 'sql']",S1,full time,DKI Jakarta
PT Akulaku Silvrr Indonesia,IT QA Lead,QA / Tester,Jakarta Pusat,,['java'],S1,full time,DKI Jakarta
PT Bundamedik Tbk,Staff IT,Other,Tegalsari,,['linux'],S1,full time,Jawa Timur
PT Arai Rubber Seal Indonesia,IT Programmer,Other,Tangerang,,"['.net', 'c', 'c#', 'sql']",S1,full time,Banten
"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",IT Project Management Junior,Other,Jakarta Utara,,[],S1,full time,DKI Jakarta
PT ABC KOGEN DAIRY,IT Data Engineer Staff,Data / AI,Jakarta Selatan,,"['python', 'sql']",S1,full time,DKI Jakarta
AGRO BOGA UTAMA GROUP,Odoo Developer,ERP / SAP / Odoo / Dynamics,Jakarta Selatan,,"['javascript', 'mysql', 'postgresql', 'python', 'sql']",S1,full time,DKI Jakarta
PT Chandra Sakti Utama Leasing (Tiara Marga Trakindo Group),IT Quality Assurance,QA / Tester,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT VICTORY RETAILINDO,IT Support,Support / Helpdesk / IT Ops,Jakarta Raya,,['networking'],Tidak Disebutkan,full time,DKI Jakarta
PT. SAPTAINDRA SEJATI,IT System Analyst Officer,Business / System Analyst,Jakarta Raya,,[],S1,full time,DKI Jakarta
PT Intersys Optima Nusantara,Web Developer,Other,Jakarta Utara,,"['.net', 'css', 'git', 'sql']",Diploma,full time,DKI Jakarta
GAMATECHA SOLUSI NUSANTARA,Mobile Developer,Mobile Developer,Malang,3775000,"['agile', 'android', 'flutter', 'ios', 'ui/ux']",S1,full time,Jawa Timur
PT Excelso Multirasa,System Developer Internship,Other,Jakarta Raya,,"['javascript', 'react', 'typescript']",Tidak Disebutkan,full time,DKI Jakarta
PT Mitra Solusi Infokom,Network Engineer,Network / Infra / SysAdmin,Jakarta Barat,,[],S1,full time,DKI Jakarta
PT Home Credit Indonesia,Senior DWH DBA Engineer,Other,Jakarta Selatan,14500000,"['agile', 'mongodb', 'mysql', 'oracle', 'postgresql', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
PT Insura Media Solusi (Jakarta),Frontend Developer (Web / Mobile),Frontend Engineer,Jakarta Raya,9500000,"['agile', 'angular', 'flutter', 'java', 'kotlin', 'react', 'scrum', 'swift', 'vue']",Diploma,full time,DKI Jakarta
PT Karya Solusi Prima Sejahtera,IT Asset Management,Other,Jakarta Raya,8500000,['excel'],S1,kontrak/temporer,DKI Jakarta
PT Akulaku Silvrr Indonesia,IT Fullstack Developer,Fullstack Engineer,Jakarta Pusat,,"['agile', 'git', 'java', 'javascript', 'node.js', 'python', 'react', 'typescript']",S1,kontrak/temporer,DKI Jakarta
PT Karya Solusi Prima Sejahtera,Managed Security Device (IT),Security / Cybersecurity,Jakarta Raya,,['jira'],Diploma,kontrak/temporer,DKI Jakarta
PT Accenture,Lowongan Kerja Senior Apache Spark Engineer,Other,Semarang,,"['machine learning', 'python', 'spark']",S1,full time,Jawa Tengah
PT Gema Teknologi Cahaya Gemilang (CV Office Plus),Project Adminstration,Other,Jakarta Raya,4250000,['agile'],Tidak Disebutkan,full time,DKI Jakarta
PT. AEON Indonesia,"IT Security & Government, Risk and Compliance",Security / Cybersecurity,Tangerang,,['penetration testing'],S1,full time,Banten
PT Bentang Inspira Teknologi (Bandung),FULLSTACK DEVELOPER,Fullstack Engineer,Jakarta Raya,5625000,"['agile', 'mongodb', 'node.js', 'react', 'redis', 'sql', 'typescript']",Diploma,kontrak/temporer,DKI Jakarta
Karyamas Plantation,IT Web Developer,Other,Jakarta Pusat,,"['javascript', 'php', 'python']",S1,full time,DKI Jakarta
PT K-24 Indonesia,IT Business System Analyst,Business / System Analyst,Yogyakarta,6250000,[],S1,full time,DI Yogyakarta
"PT. Central Proteina Prima, Tbk",IT Security Engineer,Security / Cybersecurity,Jakarta Raya,,"['aws', 'cybersecurity', 'google cloud', 'networking']",S1,full time,DKI Jakarta
PT Besmart Global Indonesia,SENIOR DEVELOPER,Other,Jakarta Raya,,"['.net', 'angular', 'c', 'c#', 'css', 'git', 'html', 'java', 'javascript', 'react', 'typescript', 'ui/ux', 'vue']",S1,full time,DKI Jakarta
