Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean,provinsi
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Data Engineer - Manufacture Industry,Data / AI,Jakarta Raya,,"['aws', 'linux', 'python', 'sql']",Tidak Disebutkan,kontrak/temporer,DKI Jakarta
PT Infracom Technology,Database Engineer,Data / AI,Jakarta Pusat,,"['linux', 'oracle', 'sql']",S1,full time,DKI Jakarta
"PT Adi Sarana Armada, Tbk",DMS - IT Developer,Other,Jakarta Utara,,"['javascript', 'jira', 'laravel', 'mysql', 'php', 'python']",S1,full time,DKI Jakarta
PT. Elabram Systems,"Manager, IT Infrastucture",Network / Infra / SysAdmin,Jakarta Raya,,"['aws', 'azure', 'cybersecurity']",S1,full time,DKI Jakarta
Pengiklan Anonim,IT Operation Manager,Other,Jakarta Raya,,['agile'],Tidak Disebutkan,kontrak/temporer,DKI Jakarta
"Asiacruit BPO, Inc",System Analyst,Business / System Analyst,Jakarta Raya(Hibrid),,"['agile', 'jira', 'scrum']",Tidak Disebutkan,full time,DKI Jakarta
AMI Financial Solutions,"Cyber Security & IT Systems Engineer (Full Remote, Freelance → Full Time)",Security / Cybersecurity,Jakarta Raya(Jarak jauh),,['azure'],Tidak Disebutkan,paruh waktu,DKI Jakarta
PT Lingkar Niaga Solusindo,Quality Assurance Engineer,QA / Tester,Jakarta Raya,,[],S1,full time,DKI Jakarta
Coforge,Data Engineer,Data / AI,Jakarta Selatan,11500000,"['aws', 'azure', 'python', 'spark', 'sql']",Tidak Disebutkan,full time,DKI Jakarta
Pengiklan Anonim,IT Hardware,Other,Mojokerto,2750000,[],Diploma,full time,Jawa Timur
PT. KODE KOLEKTIF INDONESIA,QA Tester / Tech Support,QA / Tester,Jakarta Raya,,"['git', 'javascript', 'jira', 'php']",Tidak Disebutkan,full time,DKI Jakarta
PT Porto Indonesia Sejahtera,IT Development Manager,Other,Jakarta Utara,,"['css', 'go', 'git', 'html', 'javascript', 'postgresql', 'python']",S1,full time,DKI Jakarta
PT. Digital Apta Media,Quality Assurance,QA / Tester,Bandung,4500000,['jira'],S1,full time,Jawa Barat
PT Samsung Electronics Indonesia,Software Engineer - Frontend,Frontend Engineer,Jakarta Raya,,"['agile', 'c', 'c++', 'css', 'java', 'javascript', 'jenkins', 'python', 'react', 'typescript']",S1,full time,DKI Jakarta
PT Sinar Jernih Suksesindo,Field Support,Support / Helpdesk / IT Ops,Purwokerto Utara,2250000,['c'],Tidak Disebutkan,full time,Jawa Tengah
PT Rect Media Komputindo,Front End Development,Frontend Engineer,Semarang,,"['android', 'css', 'html', 'ios', 'javascript']",Tidak Disebutkan,full time,Jawa Tengah
PT Fliptech Lentera Inspirasi Pertiwi,Technical Operations Engineer,Other,Jakarta Raya,,"['jira', 'linux', 'sql']",S1,full time,DKI Jakarta
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Data Analyst - Manufacturing Industry (Full WFO),Data / AI,Jakarta Raya,,"['aws', 'tableau']",Tidak Disebutkan,full time,DKI Jakarta
PT Noosc Security Global,CYBER SECURITY ANALYST (LAYER 2),Security / Cybersecurity,Jakarta Pusat,7000000,[],Diploma,full time,DKI Jakarta
PT Global Futura Sinergi,IT Project Manager Officer,Product / Project / Scrum,Jakarta Pusat,,"['agile', 'scrum']",S1,full time,DKI Jakarta
PT AIA Financial,IT Business Partners,Other,Jakarta Raya,,"['agile', 'azure', 'jira']",S1,full time,DKI Jakarta
GriyaNet Indonesia,Junior Project Manager (IT),Product / Project / Scrum,Malang,,"['agile', 'jira', 'scrum']",S1,full time,Jawa Timur
PT DORAN SUKSES INDONESIA (JETE INDONESIA),Web Developer,Other,Surabaya,,"['css', 'git', 'laravel', 'mysql', 'php']",Tidak Disebutkan,full time,Jawa Timur
PT Global Service Indonesia,Web Developer - GSI,Other,Jakarta Raya,,"['.net', 'javascript', 'php']",Diploma,full time,DKI Jakarta
Dikatel Rumah CCTV & HT,Technical Support,Support / Helpdesk / IT Ops,Cirebon,,['c'],Tidak Disebutkan,full time,Jawa Barat
PT Jasuindo Tiga Perkasa Tbk,HARDWARE PRODUCT DEVELOPER - L3,Other,Sidoarjo,,[],S1,full time,Jawa Timur
PT Ikon Surabaya Farmamart,Lowongan Kerja IT Project Manager,Product / Project / Scrum,Tangerang District,,"['agile', 'c', 'jira', 'scrum']",S1,kontrak/temporer,Banten
PT Sinergi Daya Mitra,Data & Business Analyst (Project Based),Data / AI,Jakarta Raya,7250000,"['agile', 'oracle', 'postgresql', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT RAJA SUKSES PROPERTINDO,IoT LiDAR Freelance,Other,Cirebon,,"['c', 'c++', 'python']",S1,paruh waktu,Jawa Barat
"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",IT Quality Assurance Intern,QA / Tester,Jakarta Utara,,['sql'],S1,paruh waktu,DKI Jakarta
PT 360 TEKNOLOGI INDONESIA,Junior .NET DEVELOPER,Other,Jakarta Utara,6750000,['.net'],S1,full time,DKI Jakarta
PT. Elabram Systems,Software Architect,Other,Jakarta Raya,,"['angular', 'aws', 'azure', 'docker', 'flutter', 'go', 'golang', 'java', 'jenkins', 'kubernetes', 'react', 'react native', 'spring boot', 'vue']",S1,kontrak/temporer,DKI Jakarta
KOPERASI JASA PT INFRASTRUKTUR TELEKOMUNIKASI INDONESIA,Datacom Solution Architect,Data / AI,Jakarta Selatan,,"['aws', 'azure', 'kubernetes', 'networking']",S1,kontrak/temporer,DKI Jakarta
PT Eka Mas Republik,NOC Manager,Network / Infra / SysAdmin,Tangerang,,['tcp/ip'],S1,full time,Banten
ASSA Rent (Jakarta),Software Engineer,Other,Jakarta Utara,,['flutter'],Tidak Disebutkan,full time,DKI Jakarta
PT Eka Mas Republik,PMO Core & Billing Engineer,Product / Project / Scrum,Tangerang,,['excel'],Diploma,full time,Banten
PT Mazta Farma,IT Odoo Developer,ERP / SAP / Odoo / Dynamics,Jakarta Barat,,"['css', 'docker', 'git', 'html', 'javascript', 'linux', 'postgresql', 'python']",S1,full time,DKI Jakarta
Program Operations,IT Specialist,Other,Bandung,,"['css', 'html', 'power bi', 'sql', 'tableau']",Tidak Disebutkan,full time,Jawa Barat
PT Multi Sarana Medika,IT (Magang),Other,Jakarta Utara,1675000,[],Tidak Disebutkan,full time,DKI Jakarta
PT Eka Mas Republik,SAP BASIS,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],S1,full time,DKI Jakarta
Egalite Solution,QA Technical Writer,QA / Tester,Surabaya,4850000,[],Tidak Disebutkan,full time,Jawa Timur
COLORLINK,Business Data Analyst,Data / AI,Jakarta Utara,7750000,"['excel', 'power bi', 'sql', 'tableau']",S1,full time,DKI Jakarta
Pengiklan Anonim,Technical Writer,Other,Jakarta Timur,10000000,[],S1,kontrak/temporer,DKI Jakarta
PT Nityo Infotech,IT Project Manager & Business Analyst (IT Infra and ROI),Network / Infra / SysAdmin,Jakarta Selatan,23500000,"['agile', 'jira']",S1,kontrak/temporer,DKI Jakarta
PT Cerdas Digital Nusantara,QA Automation,QA / Tester,Sleman,,"['android', 'ios', 'java', 'mysql']",S1,full time,DI Yogyakarta
RecXchange,Remote Recruiter Freelance,Frontend Engineer,Depok,,[],Tidak Disebutkan,full time,Jawa Barat
PT Lentera Bangsa Benderang,Quality Assurance Automation Engineer,QA / Tester,Jakarta Selatan,10100000,"['agile', 'jira']",S1,kontrak/temporer,DKI Jakarta
PT Luxehouze Group Indonesia,FrontEnd Engineers Intern,Frontend Engineer,Jakarta Raya,,"['css', 'git', 'javascript', 'mongodb', 'react', 'typescript']",S1,full time,DKI Jakarta
PT Subaga Mitra Solusi,Technician Support,Support / Helpdesk / IT Ops,Tangerang Regency,,['linux'],Tidak Disebutkan,full time,Banten
PT COGNIFY DIGITAL TECHNOLOGY INDONESIA,Data Engineer,Data / AI,DI Yogyakarta,543750,"['big data', 'docker', 'kubernetes', 'python', 'spark', 'sql']",Tidak Disebutkan,kontrak/temporer,DI Yogyakarta
PT Password Solusi Sistem,Product Specialist For Business Application,Other,Jakarta Raya,8000000,"['go', 'networking']",S1,full time,DKI Jakarta
Kompas Gramedia - KG Media,Solution Analyst Corporate IT&IS,Business / System Analyst,Jakarta Raya,,"['excel', 'sql']",S1,kontrak/temporer,DKI Jakarta
PT. EIKON Technology,Sales Executive (IT Solutions),Sales / Presales / Solution,Surabaya,,"['agile', 'go', 'google cloud']",S1,full time,Jawa Timur
PT Bagus Harapan Tritunggal,IT Project Manager,Product / Project / Scrum,Jakarta Pusat,,"['agile', 'big data']",S1,full time,DKI Jakarta
PT INDONESIA LOGAM PRATAMA,Backend Engineer,Backend Engineer,South Tangerang,,"['golang', 'laravel', 'mysql', 'php']",Tidak Disebutkan,full time,Banten
"PT. Metrodata Electronics, Tbk",Presales,Sales / Presales / Solution,Jakarta Barat,,['networking'],S1,full time,DKI Jakarta
Imoto Technologies Indonesia,Networking Specialist,Network / Infra / SysAdmin,Jakarta Utara,,['networking'],Tidak Disebutkan,full time,DKI Jakarta
PT Ondel Teknologi Indonesia,IT Developer,Other,Jakarta Timur,,"['angular', 'flutter', 'mongodb', 'node.js', 'postgresql', 'redis']",S1,full time,DKI Jakarta
